Question ,Answer 
Which tool can I study for free?,"You can learn on LinkedIn Learning (personal account) or Udemy (common account).
Udemy account information:
- User: made.support@themission.co.uk
- Pass: m1ss10nm@d3"
Can I bring my pet to work?,The building regulations do not allow pets.
When is lunch break?,You can take a lunch break at the same time frame of other colleagues (1pm - 2pm) or flexible depending on your time frame.
"I need to study some paid skills to serve the work, does the company support?",Please contact Line Manager for the most accurate answer.
"I want to join another project in the company, can I join many projects at the same time?",Please contact Line Manager for the most accurate answer.
Did I get some support for some stationery on the company?,You can use the company's stationery.
Is Certificate optional or superior to bring KPI?,Please contact Line Manager for the most accurate answer.
"I can ask whom related to health insurance related to whom, where? If the health insurance party has a problem with the Insurance replacement insurance?","Please contact:
1. Miss Trang: page.cuvuthanh@tmf-group.com
2. People Service: peoplepleservices@themission.co.uk"
Can you speak Vietnamese?,I can assist you in Vietnamese
Can you support English?,I can assist you in English
